num,addresse,branche_abbrev,filiere,company,description,etudiant,niveau,semestre,semestre_annee,sujet,tuteur,done,confidentiel,country,city,lat,lng
4433,"avenue de Perrier
2700 Pasquier
OUGANDA",GI,Ducimus iste ad unde voluptatem non.,Pires,Sit dolorum delectus laborum eum ut illo aliquam. Excepturi odit est eius. Et alias esse autem officiis. Vel a aut officia et eos.,Chantal Collin,stage ouvrier,P,2008,Repudiandae rem possimus atque nesciunt quam totam inventore.,Gabriel Devaux, ,x,COSTA RICA,Chretiendan,42.444559,-86.841546
8449,"75, rue Sylvie Raynaud
5062 Fontaine-sur-Mer
GABON",GB,Mollitia saepe quaerat voluptas est assumenda.,Maurice,Commodi corporis sit officiis rerum. Qui veritatis ea non asperiores excepturi.,Christiane Rossi,projet de fin d'étude,P,2008,Cupiditate et et facere officiis.,Aimée Dufour,x,x,BOUVET (ÎLES),Leblanc-les-Bains,21.0419325,123.545266
9940,"57, chemin Millet
165 Leblancboeuf
ÉTATS-UNIS",GB,Consequatur porro tempore blanditiis corporis ipsam aliquam.,Hubert,Quis in qui molestiae omnis. Odit non voluptatem non est recusandae nemo ipsam laboriosam. Laudantium fugiat aut voluptas laudantium. Corporis eveniet facilis sit.,Adèle Dupuis,ouvrier,A,2006,Eum saepe qui vel eaque totam quo.,David Chauvet,x, ,POLYNÉSIE FRANÇAISE,Fernandes,15.6621115,-32.899602
8651,"99, chemin Aimée Roux
5899 Dubois-sur-Mer
ÉGYPTE",GI,Tempore voluptas deserunt autem similique.,Roussel,Ex doloribus cum est. Alias quisquam eum ab consequatur. Sit dolores quia ipsam pariatur accusantium placeat omnis. Dolor perferendis officia ea quo.,Charles Bouvet,stage ouvrier,P,2013,Temporibus est perferendis ipsum aut corrupti eum aspernatur.,Juliette-Alix Langlois,x,x,BRÉSIL,Lombard-sur-Brunel,-4.122762,-133.941206
998,"3, rue Aimé Olivier
5471 Morvannec
FRANCE",GB,Eos est perferendis ut.,Guillot,Eveniet ea nemo facilis atque nam aut aut. Excepturi est nihil aut voluptas vel totam. Perferendis alias nam laborum qui optio quia accusantium. Voluptate et id quidem cupiditate.,Matthieu Lopez,stage ouvrier,P,2005,Laborum pariatur enim ratione facere molestias aliquid.,Laurent Giraud,x, ,KOWEIT,Chauvin-sur-Mer,80.3319135,147.881630
2983,"55, avenue Françoise Lebrun
2178 Fleuryboeuf
TOGO",GB,Voluptates quibusdam in possimus est.,Vidal Rolland S.A.,Doloribus provident dolorem perspiciatis quam. Ipsum est animi maxime cum autem perferendis. Delectus ipsa asperiores soluta voluptatum sed qui.,Noémi Fischer,ouvrier,A,2013,Commodi aut omnis aliquid dignissimos dolorum omnis.,Françoise Colin,x, ,ANGUILLA,Allain,36.4092815,31.355491
9504,"208, rue Dijoux
6486 Guichard
MONACO",GB,Ullam dicta similique est voluptatibus ut ut.,Pottier,Explicabo occaecati qui architecto cum nemo sit. Rerum aut cumque animi ut quo adipisci in. Neque quasi et dolores ut aut ut dolores. Ut fugiat sed velit perferendis repellat.,Bernard Colin,stage ouvrier,A,2009,Velit odit eaque at magni.,Jérôme Bodin,x, ,HONGRIE,Leleu,-55.5314965,60.932334
5284,"78, rue de Merle
5983 GautierVille
DJIBOUTI",GI,Debitis et odit non sed exercitationem hic.,Foucher,A reprehenderit eaque qui. Eum accusamus aliquid sed eligendi sit nemo. Reprehenderit aliquid aut vitae. Dolorem et et nihil est voluptates quia eius.,Thibault Colin,ouvrier,P,2002,Qui omnis impedit nesciunt.,Emmanuelle Carlier, , ,SOUDAN,Besnard-sur-Poulain,-87.5675335,2.062712
6270,"77, rue Roy
5813 Gauthiernec
TUNISIE",GI,Aut dignissimos ducimus rerum.,Gonzalez S.A.,Delectus ut dignissimos adipisci est iste rerum minus. Minus modi et earum aspernatur consequatur velit nostrum. Magni et nesciunt dolor.,Laurence-Daniel Jean,stage ouvrier,A,2004,Nemo autem occaecati quis culpa nihil iste.,Paulette Joly,x, ,CORÉE DU NORD,Launay-sur-Morin,-16.430373,-67.203407
6274,"1, chemin Hernandez
2167 Regnier-sur-Dos Santos
TOGO",GB,Quia eos architecto qui.,Muller,Minus cumque labore deserunt esse fugiat eius aperiam. Distinctio dolorem non labore quo enim aut quis. Odit incidunt maxime dolor esse. Facilis possimus vero cumque culpa et.,Josette Delahaye,stage ouvrier,A,2011,Culpa eveniet quod repudiandae sint expedita nam.,Richard Duhamel,x, ,CORÉE DU NORD,Loiseau-sur-Mer,-30.1427445,116.552798
